topic,count,depth,parent,definition,emoji,examples
Phobias,5,2,Psychological Horror,"Phobias are intense and irrational fears of specific objects, situations, or activities that can lead to significant distress and impairment. In horror, phobias are used to evoke a sense of terror and unease in the audience by playing on their deepest fears and anxieties. This trope draws on the psychological horror genre, which focuses on the psychological state of the characters and the audience rather than physical violence or gore.",🕷️,"- Arachnophobia: Fear of spiders, often used in horror to create a sense of dread and tension through the use of spider imagery or the presence of spiders in a setting.
- Claustrophobia: Fear of enclosed spaces, commonly used in horror to create a sense of confinement and suffocation through characters being trapped in tight spaces or confined areas.
- Agoraphobia: Fear of open spaces, used in horror to create a sense of vulnerability and isolation through characters being stranded or lost in vast, open areas.
- Trypophobia: Fear of clustered holes or bumps, used in horror to create a sense of disgust and unease through visual cues such as skin or objects with small holes or bumps.
- Coulrophobia: Fear of clowns, often used in horror to create a sense of creepiness and terror through the use of clown imagery or characters with clown-like features."
Obsession,5,2,Psychological Horror,"Obsession is a pathological fixation on a particular person, object, or idea that takes over one's thoughts and actions. In psychological horror, obsession often manifests as a character's descent into madness as they become consumed by their fixation, leading to terrifying and unpredictable behavior. This trope is commonly used in horror to create a sense of unease and unpredictability as the obsessed character becomes increasingly unhinged.",🤪,"- The character in the movie ""Misery"" who is obsessed with her favorite author and takes him captive to force him to write a new book.
- The character in the movie ""Black Swan"" who becomes obsessed with her role in the ballet and begins to lose touch with reality.
- The character in the movie ""The Shining"" who becomes obsessed with the hotel and its history, leading to his descent into madness."
Mind Games,4,2,Psychological Horror,"Mind games refer to psychological manipulation, deception, and trickery that causes confusion and disorientation in the victim. It is a subset of tropes in horror that focuses on the psychological horror rather than physical horror. This trope plays with the audience's perception of reality and blurs the line between what is real and what is not, creating a sense of unease and dread.",🃏,"- Gaslighting: In this trope, the victim is made to doubt their own sanity and perception of reality. The manipulator may use subtle tactics to make the victim question their memory, senses, and experiences.
- Unreliable Narrators: This trope involves a narrator who cannot be trusted to tell the truth. They may deliberately lie or omit information to manipulate the audience's perception of events.
- Hallucinations: In this trope, the victim experiences vivid and often terrifying hallucinations that may or may not be real. The line between reality and illusion is blurred, causing the victim to question their own sanity.
- Paranoia: This trope involves the victim becoming increasingly paranoid and fearful, often due to the manipulations of others. They may see threats and conspiracies where none exist, leading to a spiral of anxiety and terror.
- Gaslighting by Proxy: In this trope, a third party is manipulated into gaslighting the victim on behalf of the manipulator. This can create a sense of isolation and disorientation, as the victim's own friends and allies become part of the mind games."
Schizophrenia,3,2,Psychological Horror,"Schizophrenia is a severe mental disorder that affects a person's thinking, behavior, and emotions. It is commonly associated with psychological horror because it can cause hallucinations, delusions, and a distorted sense of reality, which are often used as tropes in horror to create a sense of terror and suspense. The portrayal of characters with schizophrenia in horror often reinforces negative stereotypes and stigmatization of mental illness.",🌀,"- The protagonist of the film ""A Beautiful Mind"" who struggles with schizophrenia and sees hallucinations of people who are not really there.
- The character of Norman Bates in the film ""Psycho"" who suffers from dissociative identity disorder, a type of schizophrenia, and has a distorted sense of reality that leads him to commit murder.
- The book and film ""The Shining"" in which the protagonist Jack Torrance slowly descends into madness and experiences hallucinations and delusions that lead him to attempt to murder his family."
Nightmares,3,2,Psychological Horror,"Nightmares are frightening and disturbing dreams that often involve elements of horror or terror. They are a common trope in the horror genre, and are often used to evoke feelings of fear and anxiety in an audience. Nightmares can be caused by a number of psychological factors, including stress, anxiety, and trauma, and are often explored in horror films and literature as a way of exploring the darker aspects of the human psyche.",💀,"- A character experiencing recurring nightmares that involve a menacing figure or monster that is slowly getting closer and closer to them.
- A character experiencing a nightmare where they are being chased by an unknown entity through a dark and ominous forest.
- A character experiencing a nightmare where they are trapped in a confined space with no way out, while something terrifying approaches them."
Mind Control,3,2,Psychological Horror,"Mind control refers to the ability for one person or entity to manipulate the thoughts, emotions, and behaviors of another individual. In horror, mind control is often used as a tool for psychological terror, as characters are forced to act against their will and are stripped of their agency. This trope plays on fears of losing control and being manipulated by outside forces.",🧠,"- Hypnosis: Using hypnotic suggestion to control the actions of another person.
- Brainwashing: The process of altering an individual's beliefs, values, and behaviors through intense psychological conditioning.
- Possession: The idea of a malevolent entity taking control of a person's body and mind.
- Gaslighting: Manipulating someone into doubting their own sanity or perception of reality.
- Mind-reading: The ability to read and manipulate another person's thoughts and emotions."
Amnesia,3,2,Psychological Horror,"Amnesia is a condition where a person loses their memory of their past experiences, including their identity and significant events. In psychological horror, amnesia is often used as a plot device to create a sense of confusion and disorientation for the protagonist, as they struggle to uncover the truth about their past and the events that led to their amnesia. This trope is commonly used in horror because it creates a sense of suspense and mystery, leaving the audience unsure of what is real and what is imagined.",💭 (thought bubble),"- The movie ""Memento"" where the protagonist has anterograde amnesia and cannot form new memories, creating confusion and disorientation for both him and the audience.
- The video game ""Amnesia: The Dark Descent"" where the protagonist wakes up with no memory of who he is or how he got into a creepy castle, forcing him to uncover the truth while being pursued by monsters.
- The TV show ""Lost"" where multiple characters experience amnesia or memory loss at different points in the series, adding to the mystery and confusion of the overall plot."
Window Scare,3,2,Jump Scares,"Window Scare is a horror trope that involves a sudden and unexpected scare that comes from a window. It is a form of Jump Scare, which is a common technique used in horror to startle the audience. The use of windows adds to the tension and fear in the scene, as it creates a sense of vulnerability for the characters and the viewer. This trope is often used in horror films and TV shows to create a sense of unease and fear in the audience.",👻,"- The scene in the movie ""The Strangers"" where the masked intruders suddenly appear outside the window while the main character is standing in the living room.
- In the TV show ""American Horror Story: Murder House,"" the character of Tate often appears outside the windows of the house to scare the other characters.
- The opening scene of the movie ""Halloween"" where Michael Myers is shown staring through a window at his sister before he kills her."
Closet Scare,3,2,Jump Scares,"Closet Scare is a horror trope where a character opens a closet, cabinet or other storage space and is suddenly confronted by a frightening, unexpected presence. This is a type of Jump Scare, a common technique used in horror to shock and scare the audience. Closet Scares play on the fear of the unknown and the potential dangers that may be lurking in plain sight.",👻,"- In the movie ""The Babadook"", the main character opens her son's closet to find the titular monster hiding inside.
- In the TV show ""Stranger Things"", the character Joyce opens a closet only to find her missing son's homemade communication device buzzing with static.
- In the video game ""Resident Evil 7"", the player character Ethan opens a cabinet to retrieve an item, only to be attacked by a Molded creature hiding inside."
Transformation,5,2,Body Horror,"Transformation refers to a physical or psychological change that a character undergoes, often involving a drastic and frightening alteration of their body or mind. It is a common trope in horror, as it can create a sense of unease and revulsion in the audience. The concept of transformation is often used in conjunction with other horror tropes, such as body horror, to create a more intense and terrifying experience for the viewer or reader.",🐛🦋,"- The transformation of David Kessler into a werewolf in the movie ""An American Werewolf in London""
- The gradual transformation of Seth Brundle into a monstrous insectoid creature in the movie ""The Fly""
- The psychological transformation of Jack Torrance into a homicidal maniac in the novel/movie ""The Shining"" 
- The body horror transformation of the victims in the movie ""The Thing"" as they are assimilated and mutated by the alien organism. 
- The transformation of Nina Sayers into a swan creature in the movie ""Black Swan"" as she descends into madness and obsession."
Gore,5,2,Body Horror,"Gore refers to the graphic and excessive depiction of blood, violence, and bodily harm in horror movies and literature. It is often used to shock and disgust the audience, and can be considered a subgenre of body horror. Gore is a common trope in horror and is used to create fear and revulsion in the viewer or reader.",💀,"- Severed limbs or body parts
- Blood splatters or spatters
- Gaping wounds or lacerations
- Excessive use of gore in kill scenes
- Vivid descriptions of bodily harm or injury
- The use of torture or mutilation
- Extreme violence or brutality
- Gore-filled death scenes
- Flesh-eating or cannibalistic imagery
- Disembowelment or disembodiment"
Medical Horror,3,2,Body Horror,"Medical Horror is a subgenre of horror that focuses on the fear and disgust of medical procedures, diseases, and bodily transformations. It often relies on the use of body horror tropes, such as mutilation, infection, and transformation, to evoke a sense of physical and psychological terror in the audience. Medical horror often plays on the fear of the unknown and uncontrollable aspects of medical science, as well as the vulnerability of the human body.",🏥💉💀,"- The Fly (1986) - A scientist's experiment with teleportation goes wrong and he slowly transforms into a human-fly hybrid, complete with gruesome bodily mutations and decay.
- The Human Centipede (2009) - A mad scientist surgically sews three people together, mouth to anus, to create a grotesque human centipede.
- American Mary (2012) - A medical student turns to underground body modification surgeries to pay for her education, but gets caught up in a world of sadistic clients and dangerous practices.
- Re-Animator (1985) - A medical student discovers a serum that can bring the dead back to life, but the reanimated corpses turn out to be violent and uncontrollable.
- The Thing (1982) - A shape-shifting alien organism infiltrates a research station in Antarctica and takes over the bodies of the inhabitants, resulting in gruesome and horrific transformations."
Final Girl,6,2,Slasher Films,"The ""Final Girl"" is a trope in horror films, referring to the last surviving female character who confronts the killer and ultimately defeats them. This character is often portrayed as resourceful, intelligent, and virtuous, and serves as a symbol of hope and strength in the face of overwhelming terror. The trope has become a staple of the slasher sub-genre of horror, and has been analyzed and deconstructed in numerous academic and critical studies of horror cinema.",👩‍🦲,"- Laurie Strode in Halloween (1978)
- Sidney Prescott in Scream (1996)
- Nancy Thompson in A Nightmare on Elm Street (1984)
- Erin Harson in You're Next (2011)
- Mia Allen in Evil Dead (2013)"
Masked Killer,4,2,Slasher Films,"A masked killer is a common trope in horror films where a character is wearing a mask to conceal their identity while committing violent acts. This trope is often seen in slasher films, which typically involve a group of victims being hunted down and killed by a mysterious and often supernatural killer. The use of a mask can add an element of mystery and fear to the story, as it creates an unknown and unpredictable antagonist that the audience must fear.",🔪,"- Michael Myers from the Halloween franchise, who wears a white mask while stalking and killing his victims.
- Ghostface from the Scream franchise, who wears a black hood and mask while taunting and killing his victims.
- Leatherface from The Texas Chainsaw Massacre franchise, who wears a mask made of human skin while attacking and killing his victims with a chainsaw."
Teenage Victims,3,2,Slasher Films,"Teenage victims refer to the common trope in horror movies where young people, usually teenagers, are the primary targets of the killer or antagonist. This trope is often seen in slasher films, where the killer preys on a group of young people, usually in a remote location, and picks them off one by one. The teenage victim trope is often used to create a sense of vulnerability and helplessness in the characters, making the horror more intense and frightening for the audience.",💀,"- The group of teenagers in ""Friday the 13th"" who are stalked and killed by Jason Voorhees while working at a summer camp.
- The high school students in ""Scream"" who are targeted by a masked killer known as Ghostface.
- The young people in ""Halloween"" who are terrorized by Michael Myers on Halloween night.
- The college students in ""I Know What You Did Last Summer"" who are haunted by their past actions and hunted by a vengeful killer.
- The teenagers in ""The Texas Chainsaw Massacre"" who stumble upon a family of cannibals while on a road trip."
Death Scenes,3,2,Slasher Films,"Death scenes refer to the moments in horror movies when a character is killed by the antagonist. These scenes are often graphic and violent, and are a common trope in slasher films. They typically involve the use of weapons or other means of physical harm, and are designed to elicit fear and shock from the audience. Death scenes are a key element of horror movies, and have become a staple of the genre.",💀,"- The shower scene in ""Psycho"" where Marion Crane is stabbed to death by Norman Bates dressed as his mother.
- The opening scene in ""Scream"" where Casey Becker is brutally attacked and killed by the masked killer.
- The death of Drew Decker in ""Scary Movie"" parodying the death of Casey Becker in ""Scream"".
- The death of Tatum Riley in ""Scream"" where she is crushed to death by the garage door.
- The lake scene in ""Friday the 13th"" where Kevin Bacon's character is killed with an arrow through the throat."
Isolated Locations,5,2,Settings,"Isolated locations refer to settings that are remote or cut-off from civilization, often leaving characters completely alone or with a small group of people. This trope is commonly used in horror to increase tension and fear as characters are unable to call for help or escape easily, making them vulnerable to the threats that exist within the isolated location.",🏝️,"- A remote cabin in the woods
- An abandoned hospital or asylum
- A small island in the middle of the ocean
- A deserted town or village
- A stranded spaceship or space station
- A snowed-in mountain lodge
- A remote research facility in the Arctic or Antarctic
- A haunted house or mansion in the countryside
- A deep underground bunker or cave system
- A remote outpost in the wilderness."
Abandoned Places,4,2,Settings,"Abandoned places refer to locations that have been left behind or forgotten by their owners or inhabitants. These places are often associated with a feeling of isolation, decay, and a sense of foreboding. In horror, abandoned places are a common trope used to create a sense of unease and dread within the audience. They can be used to set the scene for supernatural or paranormal activity or as a backdrop for a psychological horror story.",🏚️,"- An abandoned asylum or mental hospital
- A deserted ghost town
- An old, rundown mansion or castle
- A dilapidated prison or jail
- An empty amusement park or carnival grounds
- An abandoned hospital or medical facility
- A deserted industrial complex or factory
- A desolate, overgrown cemetery or graveyard
- A forgotten underground bunker or fallout shelter
- A deserted, decaying ship or submarine"
Forests,3,2,Settings,"Forests are dense areas of land covered with trees, underbrush, and wildlife. In horror, forests often represent isolation, danger, and the unknown. They are commonly used as a setting for horror movies, where characters become lost or stranded and must navigate through the trees while being pursued by a monster or killer. The forest is also a trope associated with folklore and fairy tales, which are often incorporated into horror stories.",🌳,"- The Blair Witch Project: A group of filmmakers become lost in a dense forest while filming a documentary about a local legend, the Blair Witch.
- The Cabin in the Woods: A group of friends travel to a remote cabin in the woods and unknowingly become part of a twisted experiment.
- The Evil Dead: A group of friends travel to a cabin in the woods and accidentally summon demonic spirits.
- The Ritual: A group of hikers become lost in a Scandinavian forest and encounter a malevolent entity.
- The Forest: A young woman travels to a forest in Japan to search for her twin sister, who has become lost while exploring the area.
- The Hallow: A family moves into a remote house in the Irish countryside, but their presence disturbs the creatures that live in the nearby forest."
Possession,4,2,Plot Devices,"Possession refers to the idea of a supernatural entity taking control of a human body or mind. It is a common plot device in horror that creates a sense of fear and uncertainty, as the possessed individual may act in ways that are unpredictable and dangerous. Possession is often associated with other horror tropes, such as exorcism, demonic entities, and spiritual warfare.",👻,"- A person possessed by a demon, such as in the movie ""The Exorcist""
- An object possessed by a malevolent spirit, such as a haunted doll or cursed artifact
- A person possessed by a ghost or vengeful spirit seeking revenge for past wrongs, as in the movie ""The Grudge"""
Found Footage,4,2,Plot Devices,"Found footage is a technique used in horror films where the story is presented as if it were discovered footage from a previously unknown or lost source. The footage is often shaky, grainy, and low-quality, making it seem more authentic and believable. This technique is a popular plot device in horror as it immerses the audience in the story and creates a sense of realism, making it more terrifying.",📹,"- The Blair Witch Project (1999) - Considered one of the first and most successful examples of found footage horror, the film follows a group of documentary filmmakers as they investigate a legendary witch in the woods, only to become lost and terrorized by an unseen force.
- Paranormal Activity (2007) - This film follows a couple as they set up cameras throughout their home to capture evidence of a demonic presence that has been haunting them. The footage becomes increasingly disturbing as the activity intensifies.
- Cloverfield (2008) - This movie presents itself as footage found after a massive monster attack on New York City. The film follows a group of friends as they try to survive and escape the destruction.
- REC (2007) - A Spanish found footage film that follows a news reporter and her cameraman as they document a night shift at a local fire station. They soon find themselves trapped in the building with a group of people infected by a mysterious virus that turns them into bloodthirsty zombies.
- V/H/S (2012) - This anthology film features a collection of found footage shorts, each with their own unique horror story. The footage is presented as being discovered on a series of VHS tapes, found by a group of criminals hired to steal a specific tape from a creepy old house."
Final Girl,4,2,Plot Devices,"The ""Final Girl"" is a trope in horror films, referring to the last surviving female character who confronts the killer and ultimately defeats them. This character is often portrayed as resourceful, intelligent, and virtuous, and serves as a symbol of hope and strength in the face of overwhelming terror. The trope has become a staple of the slasher sub-genre of horror, and has been analyzed and deconstructed in numerous academic and critical studies of horror cinema.",👩‍🦲,"- Laurie Strode in Halloween (1978)
- Sidney Prescott in Scream (1996)
- Nancy Thompson in A Nightmare on Elm Street (1984)
- Erin Harson in You're Next (2011)
- Mia Allen in Evil Dead (2013)"
Zombie Apocalypse,3,2,Plot Devices,"A Zombie Apocalypse is a fictional scenario in which a widespread outbreak of a virus or other contagion leads to the majority of the population turning into flesh-eating zombies. This scenario is a popular plot device in horror as it allows for the exploration of themes such as survival, morality, and the breakdown of society. It often utilizes common tropes in horror such as the undead, infection, and the collapse of civilization.",🧟‍♂️,"- The Walking Dead TV series, which follows a group of survivors in a world overrun by zombies.
- The video game series Resident Evil, which features a global outbreak of a virus that turns people into zombies and the efforts of a group of survivors to stop it.
- The movie World War Z, which depicts a worldwide pandemic that turns people into zombies and the efforts of a former United Nations investigator to find a cure and save his family.
- The novel World War Z by Max Brooks, which is written as a series of interviews with survivors of a global zombie outbreak and explores themes such as politics, culture, and survival. 
- The movie 28 Days Later, which features the outbreak of a virus that turns people into rage-filled zombies and follows a group of survivors as they try to find safety in a world overrun by the infected."
Vengeful Spirits,4,2,Curses,"Vengeful spirits are supernatural entities that seek revenge against those who have wronged them while they were alive. They are a popular trope in horror and are often portrayed as malevolent and powerful entities that haunt the living. Vengeful spirits are a subset of curses in horror and are often associated with themes of karma, justice, and retribution. They are a common element in ghost stories, folklore, and mythologies across different cultures.",💀,"- The Grudge: A curse that manifests as a vengeful spirit that haunts and kills anyone who enters the house where it died.
- The Ring: A cursed videotape that unleashes a vengeful spirit that kills anyone who watches it.
- The Woman in Black: A vengeful spirit of a woman who lost her child and seeks revenge by haunting a village and causing the death of children."
Love Curses,3,2,Curses,"Love Curses refer to a type of trope in horror where characters are bound by a curse that is linked to their romantic relationships. This curse can manifest in various ways, such as causing death or eternal suffering to those who fall in love with the cursed individual. Love Curses are a popular subset of horror tropes that explore the dark side of love and relationships.",💔,"- In the movie ""The Ring"", the cursed videotape causes anyone who watches it to die in exactly seven days. The curse is linked to the character Samara, who was thrown into a well by her mother and left to die. The curse is spread through a romantic relationship, as the main character's ex-boyfriend watches the tape and inadvertently passes the curse onto her.
- In the TV show ""Supernatural"", the curse of the ""Woman in White"" is a love curse that is linked to a woman who was betrayed by her husband and kills any man who she believes is unfaithful. The curse is spread through sexual relationships, as the woman appears to men who are cheating on their partners.
- In the book ""The Witching Hour"" by Anne Rice, the Mayfair family is cursed with a love curse that causes them to fall in love with their own blood relatives. This curse leads to incestuous relationships and a cycle of insanity and death within the family.
- In the movie ""Crimson Peak"", the main character falls in love with a man who is hiding a dark secret - his family is cursed and his ancestors have been killing their wives for generations. The curse is linked to their romantic relationships and requires the sacrifice of a wife in order to maintain the family's wealth and power."
Generational Curses,3,2,Curses,"Generational Curses refer to a supernatural phenomenon where a family or group of people are cursed by a malevolent force or deity, resulting in a series of misfortunes and tragedies that span across multiple generations. This concept is often used in horror stories to create a sense of doom and inevitability, as the curse cannot be easily broken and the characters are forced to confront the sins of their ancestors. Generational Curses are a common trope in horror, as they tap into our primal fears of the unknown and the consequences of our actions.",👻,"- The Amityville Horror: The Lutz family moves into a house where a mass murder took place and soon begin experiencing hauntings and supernatural events, which they believe to be caused by a generational curse placed on the property by Native Americans.
- The Grudge: A curse is placed on a house in Japan after a family is killed by their own mother, causing anyone who enters the house to be haunted by vengeful spirits and eventually killed.
- The Ring: A videotape cursed by a vengeful spirit causes anyone who watches it to die within seven days, leading to a series of deaths and a race against time to break the curse.
- The Omen: A couple discovers that their son is actually the Antichrist, and his birth is part of a generational curse that will bring about the end of the world.
- Poltergeist: A family's home is built on top of a cemetery, leading to a series of supernatural events and hauntings that are believed to be caused by a generational curse placed on the land."
Supernatural Cults,4,2,Cults,"Supernatural cults are groups of people who worship or follow a supernatural entity or force. These cults often involve rituals, sacrifices, and other practices that are deemed taboo by mainstream society. They are a popular trope in horror, often serving as the primary antagonist or source of conflict in a story. The cult's belief in supernatural powers and their willingness to perform extreme acts in the name of their deity or cause create a sense of unease and terror in the audience, making them a staple in the horror genre.",👥🔮👀,"- The Church of the Red Museum from the TV show ""Hannibal"", which is a cult that believes in consuming human flesh to achieve enlightenment.
- The Children of the Corn from the Stephen King novel and film of the same name, which is a cult of children who worship a supernatural entity called ""He Who Walks Behind the Rows"" and sacrifice adults to appease him.
- The Manson Family, a real-life cult led by Charles Manson that believed in an impending apocalyptic race war and carried out a series of brutal murders in the late 1960s."
The Skeptic,3,2,Characters,"The Skeptic is a character in horror who refuses to believe in the supernatural or paranormal, often dismissing strange occurrences as mere coincidence or the result of natural causes. This trope is commonly used in horror to create tension and conflict between characters, as the skeptic's disbelief often puts them at odds with other characters who are convinced of the presence of supernatural forces. However, the skeptic may eventually be proved wrong and become a victim of the very forces they initially doubted.",🤔,"- Dr. Malcolm Crowe in ""The Sixth Sense""
- David Drayton in ""The Mist""
- Dana Scully in ""The X-Files""
- Dr. John Markway in ""The Haunting""
- Martin Brody in ""Jaws"""
